,,NB,NB,NB,NB,NB,NB,RF,RF,RF,RF,RF,RF
sim,,N_DUST,U_DUST,ED,UED,HBD,JSD,N_DUST,U_DUST,ED,UED,HBD,JSD
metrics,dims,,,,,,,,,,,,
P,g,0.79,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,1.0,0.99,1.0
P,r,0.79,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,1.0,0.99,1.0
P,i,0.79,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,1.0,0.99,1.0
P,u,0.64,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,1.0,0.99,1.0
R,g,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99
R,r,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99
R,i,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99
R,u,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99
F1,g,0.93,1.0,1.0,1.0,0.98,0.98,0.99,0.99,1.0,1.0,1.0,0.99
F1,r,0.93,1.0,1.0,1.0,0.98,0.98,0.99,0.99,1.0,1.0,1.0,0.99
F1,i,0.93,1.0,1.0,1.0,0.98,0.98,0.99,0.99,1.0,1.0,1.0,0.99
F1,u,0.92,1.0,1.0,1.0,0.98,0.98,0.99,0.99,1.0,1.0,1.0,0.99
Acc,g,0.95,0.99,1.0,1.0,0.89,0.91,0.98,0.99,1.0,1.0,0.99,1.0
Acc,r,0.95,0.99,1.0,1.0,0.89,0.91,0.98,0.99,1.0,1.0,0.99,1.0
Acc,i,0.95,0.99,1.0,1.0,0.89,0.91,0.98,0.99,1.0,1.0,0.99,1.0
Acc,u,0.95,0.99,1.0,1.0,0.89,0.91,0.98,0.99,1.0,1.0,0.99,1.0
